,0,1,2,3,4,5
0,False,True,True,True,False,True
1,False,True,False,False,True,True
2,False,True,False,False,False,False
3,True,False,False,False,False,False
4,False,True,False,True,True,False
5,False,True,False,False,False,True
6,False,True,False,False,True,True
7,False,True,True,False,False,False
8,False,True,True,True,True,True
9,False,True,True,False,False,True
10,False,True,False,True,False,True
11,False,True,True,True,True,True
12,False,True,False,False,False,False
13,True,False,False,False,False,False
14,False,True,False,True,False,False
15,False,True,True,False,True,True
16,False,True,False,True,True,True
17,False,True,False,False,False,False
18,False,False,True,True,False,True
19,False,True,True,False,True,True
20,False,True,True,False,True,True
21,False,True,False,True,True,True
22,False,True,False,False,True,True
23,False,True,False,False,True,False
24,False,True,False,False,False,False
25,False,True,False,False,True,True
26,False,True,False,False,False,True
27,False,True,False,False,True,True
28,False,False,False,False,False,False
29,False,True,True,False,False,False
30,False,True,False,False,True,True
31,False,False,False,False,False,True
32,False,False,False,False,False,False
33,False,False,False,False,False,False
34,True,False,False,False,False,False
35,False,True,True,True,False,True
36,False,True,False,True,True,True
37,False,False,False,True,False,False
38,True,False,False,False,False,False
39,False,True,False,False,False,False
40,False,False,False,False,False,False
41,False,False,True,True,False,True
42,False,False,True,False,True,True
43,False,True,False,False,False,True
44,False,True,True,True,True,True
45,True,False,False,False,False,False
46,False,True,False,False,True,True
47,False,True,True,True,False,True
48,False,False,False,False,True,True
49,False,False,True,False,True,True
50,False,True,False,False,False,False
51,False,False,False,False,False,False
52,False,True,False,False,False,True
53,False,True,False,False,False,False
54,False,True,False,False,False,True
55,False,True,False,False,False,False
56,True,False,False,False,False,False
57,False,True,False,False,True,True
58,False,False,False,False,False,True
59,False,False,True,False,True,True
60,True,False,False,False,False,False
61,True,False,False,False,False,False
62,False,True,False,False,False,False
63,True,False,False,False,False,False
64,False,True,True,False,True,True
65,False,True,False,False,False,True
66,True,False,False,False,False,False
67,False,True,False,False,False,False
68,False,False,True,False,False,True
69,False,True,False,False,True,True
70,True,False,False,False,False,False
71,False,False,False,False,False,False
72,False,True,False,False,False,True
73,False,True,True,True,True,True
74,False,True,True,False,True,True
75,False,True,False,False,True,True
76,False,True,False,False,False,True
77,False,True,False,False,True,True
78,False,True,False,False,True,True
79,False,True,False,False,False,True
80,False,True,False,False,False,False
81,False,True,False,False,False,False
82,False,True,True,False,True,True
83,False,True,True,False,True,True
84,False,True,True,False,True,False
85,True,False,False,False,False,False
86,False,True,False,False,False,False
87,False,True,False,False,False,False
88,False,True,False,False,False,False
89,False,True,False,False,False,False
90,False,True,True,False,False,False
91,False,True,True,False,True,True
92,False,True,False,True,True,True
93,False,False,False,False,False,True
94,False,True,False,False,False,False
95,False,False,False,False,True,False
96,False,True,False,True,False,True
97,False,True,False,False,False,True
98,False,True,True,True,True,True
99,False,True,True,False,True,True
100,False,False,False,False,True,True
101,False,True,False,False,False,False
102,False,True,False,False,True,False
103,False,True,False,False,False,False
104,False,True,True,True,False,False
105,False,True,False,False,True,True
106,False,True,False,False,False,False
107,False,True,False,False,False,True
108,False,True,False,False,False,False
109,False,True,True,True,True,True
110,False,False,True,False,False,False
111,False,True,False,False,False,False
112,False,True,False,False,False,False
113,False,True,True,True,True,True
114,False,True,False,True,False,True
115,False,True,False,False,False,True
116,False,True,False,False,False,False
117,False,False,False,False,False,True
118,False,True,False,False,False,False
119,False,False,False,False,True,False
120,False,True,False,False,False,True
121,False,True,True,False,True,True
122,False,True,False,False,False,False
123,False,True,False,False,False,True
124,True,False,False,False,False,False
125,False,True,False,False,False,False
126,False,True,False,False,False,False
127,False,True,False,False,False,True
128,False,True,True,False,False,True
129,False,True,True,True,True,True
130,False,False,False,False,True,True
131,False,True,False,False,False,False
132,False,True,True,False,False,False
133,False,True,False,False,False,False
134,False,True,True,False,False,True
135,False,True,True,False,False,True
136,False,True,False,True,False,True
137,False,True,False,False,True,True
138,False,False,True,True,False,True
139,False,True,True,False,True,True
140,False,True,False,True,False,True
141,False,True,False,False,True,False
142,False,True,False,False,True,True
143,False,True,False,False,False,True
144,False,True,False,True,False,False
145,False,True,False,True,True,True
146,False,True,False,False,False,False
147,False,True,False,False,True,True
148,False,False,False,False,False,False
149,True,False,False,False,False,False
150,False,False,False,False,False,False
151,False,False,True,False,True,False
152,False,False,False,False,False,False
153,False,True,True,False,True,True
154,False,True,False,False,False,False
155,True,False,False,False,False,False
156,True,False,False,False,False,False
157,False,True,True,True,False,True
158,False,True,True,True,False,True
159,False,True,True,True,False,True
160,False,True,True,False,False,True
161,False,True,False,True,False,True
162,False,True,False,False,False,True
163,False,True,True,True,True,True
