,0,1,2,3
0,False,True,True,True
1,False,False,False,True
2,False,False,True,True
3,False,False,False,False
4,False,False,False,True
5,False,True,True,True
6,False,False,True,True
7,False,False,False,True
8,True,True,True,True
9,False,False,False,True
10,False,True,True,True
11,False,False,True,True
12,False,False,False,False
13,False,False,False,False
14,False,False,True,True
15,False,False,False,True
16,False,False,True,True
17,False,False,False,True
18,True,True,True,True
19,False,True,True,True
20,True,False,True,True
21,True,False,True,True
22,False,False,True,True
23,False,False,True,True
24,False,False,True,False
25,False,False,True,True
26,False,False,False,True
27,False,False,False,True
28,False,False,False,True
29,False,False,False,True
30,False,False,False,True
31,False,False,True,False
32,False,False,False,True
33,False,False,True,True
34,False,False,False,False
35,True,True,False,True
36,True,True,True,True
37,False,False,False,True
38,False,False,False,False
39,False,False,False,True
40,False,False,True,True
41,False,False,False,True
42,False,False,True,True
43,False,False,False,True
44,True,True,True,True
45,False,False,False,False
46,False,False,False,False
47,False,False,True,True
48,True,True,True,True
49,True,True,True,True
50,False,False,True,False
51,False,False,True,False
52,False,False,False,True
53,False,False,False,False
54,False,False,True,True
55,False,False,False,False
56,False,False,False,False
57,False,False,True,False
58,False,False,False,False
59,True,True,True,True
60,False,False,False,False
61,False,False,False,False
62,False,False,True,True
63,False,False,False,False
64,False,True,True,True
65,False,False,False,True
66,False,False,False,False
67,False,False,False,True
68,False,False,True,True
69,False,False,True,True
70,False,False,False,False
71,False,False,False,True
72,False,False,False,True
73,True,True,True,True
74,False,True,True,True
75,False,True,True,True
76,False,False,False,True
77,False,False,False,True
78,True,True,False,True
79,False,False,True,True
80,False,False,False,True
81,False,False,True,False
82,True,False,True,True
83,False,True,True,True
84,False,False,False,True
85,False,False,False,False
86,False,False,True,True
87,False,False,True,True
88,False,False,False,False
89,False,False,False,True
90,False,False,False,True
91,True,True,True,True
92,False,True,True,True
93,True,True,False,False
94,False,False,True,True
95,True,True,False,False
96,False,False,True,True
97,False,False,False,True
98,True,True,True,True
99,False,True,True,True
100,False,False,False,True
101,False,False,False,True
102,False,False,True,True
103,False,False,False,True
104,False,False,False,True
105,False,False,True,True
106,False,False,False,True
107,False,False,True,True
108,False,False,False,False
109,True,True,True,True
110,True,True,True,True
111,False,False,False,True
112,False,False,False,True
113,False,False,True,True
114,False,False,True,True
115,False,False,False,True
116,False,False,True,True
117,False,False,False,True
118,False,False,False,False
119,False,True,True,True
120,True,True,True,True
121,False,False,False,True
122,False,False,True,True
123,False,False,False,False
124,False,False,False,False
125,False,False,False,True
126,False,False,True,False
127,False,False,True,True
128,True,True,False,True
129,False,True,True,True
130,False,False,False,True
131,False,False,False,True
132,True,True,False,True
133,False,False,False,True
134,True,True,True,True
135,True,True,True,True
136,False,True,True,True
137,False,False,True,True
138,False,False,True,True
139,False,False,False,True
140,False,True,True,True
141,False,False,False,True
142,False,False,True,True
143,False,True,True,True
144,False,False,False,True
145,False,False,False,True
146,False,False,False,True
147,False,False,False,True
148,False,False,False,True
149,False,False,False,False
150,False,False,False,True
151,False,True,True,True
152,False,False,True,True
153,True,True,True,True
154,False,False,True,False
155,False,False,False,False
156,False,False,False,False
157,True,False,True,True
158,False,True,True,True
159,False,True,False,True
160,False,True,True,True
161,True,True,True,True
162,True,True,True,True
163,True,True,True,True
164,False,True,True,True
165,False,False,True,True
166,False,False,True,True
167,True,True,True,True
168,False,False,False,True
169,True,True,True,True
170,True,True,True,True
171,False,True,True,True
172,False,False,True,True
173,False,False,False,True
174,True,True,True,True
175,False,False,False,True
176,True,True,False,True
177,False,False,True,True
178,False,True,False,True
179,False,False,True,True
180,False,False,True,True
181,False,False,False,False
182,False,False,False,False
183,False,False,True,True
184,False,False,False,True
185,False,False,True,True
186,False,True,True,True
187,False,False,True,True
188,False,False,False,False
189,False,False,True,True
190,False,False,False,False
191,False,False,False,True
192,False,False,False,False
193,False,False,False,True
194,False,False,False,True
195,True,True,True,True
196,False,False,True,True
197,False,True,True,True
198,False,False,True,True
199,False,True,True,True
200,False,False,False,True
201,False,False,False,True
202,False,True,True,True
203,True,True,True,True
204,False,False,False,True
205,False,False,True,True
206,False,False,False,True
207,False,False,True,True
208,False,False,True,True
209,False,False,False,True
210,False,False,True,True
211,False,True,True,True
212,False,True,True,True
213,False,False,True,True
214,False,False,True,True
